player_name,Price in $,Role,team,auction_year,Price in rs,nationality,base_price,winning_bid,capped_status
Shane Watson,,All-Rounder,Royal Challengers Bengaluru,2016,"9,50,00,000",,,,
Stuart Binny,,All-Rounder,Royal Challengers Bengaluru,2016,"2,00,00,000",,,,
Kane Richardson,,Bowler,Royal Challengers Bengaluru,2016,"2,00,00,000",,,,
Samuel Badree,,Bowler,Royal Challengers Bengaluru,2016,"50,00,000",,,,
Travis Head,,Batsman,Royal Challengers Bengaluru,2016,"50,00,000",,,,
Praveen Dubey,,All-Rounder,Royal Challengers Bengaluru,2016,"35,00,000",,,,
Vikramjeet Malik,,Bowler,Royal Challengers Bengaluru,2016,"20,00,000",,,,
Akshay Karnewar,,All-Rounder,Royal Challengers Bengaluru,2016,"10,00,000",,,,
Iqbal Abdullah,,All-Rounder,Royal Challengers Bengaluru,2016,"10,00,000",,,,
Sachin Baby,,Batsman,Royal Challengers Bengaluru,2016,"10,00,000",,,,
Vikas Tokas,,Bowler,Royal Challengers Bengaluru,2016,"10,00,000",,,,
Yuvraj Singh,,All-Rounder,Sunrisers Hyderabad,2016,"7,00,00,000",,,,
Ashish Nehra,,Bowler,Sunrisers Hyderabad,2016,"5,50,00,000",,,,
Deepak Hooda,,All-Rounder,Sunrisers Hyderabad,2016,"4,20,00,000",,,,
Mustafizur Rahman,,Bowler,Sunrisers Hyderabad,2016,"1,40,00,000",,,,
Aditya Tare,,Wicket Keeper,Sunrisers Hyderabad,2016,"1,20,00,000",,,,
Barinder Singh Sran,,Bowler,Sunrisers Hyderabad,2016,"1,20,00,000",,,,
Ben Cutting,,All-Rounder,Sunrisers Hyderabad,2016,"50,00,000",,,,
Vijay Shankar,,All-Rounder,Sunrisers Hyderabad,2016,"35,00,000",,,,
Abhimanyu Mithun,,Bowler,Sunrisers Hyderabad,2016,"30,00,000",,,,
Tirumalasetti Suman,,Batsman,Sunrisers Hyderabad,2016,"10,00,000",,,,
Kagiso Rabada,,Bowler,Delhi Daredevils,2017,"5,00,00,000",,,,
Patrick Cummins,,Bowler,Delhi Daredevils,2017,"4,50,00,000",,,,
Angelo Mathews,,All-Rounder,Delhi Daredevils,2017,"2,00,00,000",,,,
Corey Anderson,,All-Rounder,Delhi Daredevils,2017,"1,00,00,000",,,,
M. Ashwin,,Bowler,Delhi Daredevils,2017,"1,00,00,000",,,,
Aditya Tare,,Wicket Keeper,Delhi Daredevils,2017,"25,00,000",,,,
Ankeet Bawane,,Batsman,Delhi Daredevils,2017,"10,00,000",,,,
Navdeep Saini,,Bowler,Delhi Daredevils,2017,"10,00,000",,,,
Shashank Singh,,All-Rounder,Delhi Daredevils,2017,"10,00,000",,,,
Jason Roy,,Batsman,Gujarat Lions,2017,"1,00,00,000",,,,
Basil Thampi,,Bowler,Gujarat Lions,2017,"85,00,000",,,,
Manpreet Gony,,Bowler,Gujarat Lions,2017,"60,00,000",,,,
Nathu Singh,,Bowler,Gujarat Lions,2017,"50,00,000",,,,
Munaf Patel,,Bowler,Gujarat Lions,2017,"30,00,000",,,,
Akshdeep Nath,,All-Rounder,Gujarat Lions,2017,"10,00,000",,,,
Shubam Agrawal,,All-Rounder,Gujarat Lions,2017,"10,00,000",,,,
Tejas Singh Baroka,,Bowler,Gujarat Lions,2017,"10,00,000",,,,
Chirag Suri,,Batsman,Gujarat Lions,2017,"10,00,000",,,,
Pratham Singh,,All-Rounder,Gujarat Lions,2017,"10,00,000",,,,
Shelley Shaurya,,Bowler,Gujarat Lions,2017,"10,00,000",,,,
T Natarajan,,Bowler,Kings XI Punjab,2017,"3,00,00,000",,,,
Varun Aaron,,Bowler,Kings XI Punjab,2017,"2,80,00,000",,,,
Eoin Morgan,,Batsman,Kings XI Punjab,2017,"2,00,00,000",,,,
Matt Henry,,Bowler,Kings XI Punjab,2017,"50,00,000",,,,
Martin Guptill,,Batsman,Kings XI Punjab,2017,"50,00,000",,,,
Darren Sammy,,All-Rounder,Kings XI Punjab,2017,"30,00,000",,,,
Rahul Tewatia,,All-Rounder,Kings XI Punjab,2017,"25,00,000",,,,
Rinku Singh,,Batsman,Kings XI Punjab,2017,"10,00,000",,,,
Trent Boult,,Bowler,Kolkata Knight Riders,2017,"5,00,00,000",,,,
Chris Woakes,,All-Rounder,Kolkata Knight Riders,2017,"4,20,00,000",,,,
Nathan Coulter-Nile,,Bowler,Kolkata Knight Riders,2017,"3,50,00,000",,,,
Rishi Dhawan,,All-Rounder,Kolkata Knight Riders,2017,"55,00,000",,,,
Darren Bravo,,Batsman,Kolkata Knight Riders,2017,"50,00,000",,,,
Rovman Powell,,All-Rounder,Kolkata Knight Riders,2017,"30,00,000",,,,
Sayan Ghosh,,Bowler,Kolkata Knight Riders,2017,"10,00,000",,,,
R. Sanjay Yadav,,All-Rounder,Kolkata Knight Riders,2017,"10,00,000",,,,
Ishank Jaggi,,Batsman,Kolkata Knight Riders,2017,"10,00,000",,,,
Karn Sharma,,All-Rounder,Mumbai Indians,2017,"3,20,00,000",,,,
Krishnappa Gowtham,,All-Rounder,Mumbai Indians,2017,"2,00,00,000",,,,
Mitchell Johnson,,Bowler,Mumbai Indians,2017,"2,00,00,000",,,,
Asela Gunarathna,,Batsman,Mumbai Indians,2017,"30,00,000",,,,
Saurabh Tiwary,,Batsman,Mumbai Indians,2017,"30,00,000",,,,
Nicolas Pooran,,Wicket Keeper,Mumbai Indians,2017,"30,00,000",,,,
Kulwant Khejroliya,,Bowler,Mumbai Indians,2017,"10,00,000",,,,
Benjamin Stokes,,All-Rounder,Rising Pune Supergiant,2017,"14,50,00,000",,,,
Daniel Christian,,All-Rounder,Rising Pune Supergiant,2017,"1,00,00,000",,,,
Manoj Tiwary,,Batsman,Rising Pune Supergiant,2017,"50,00,000",,,,
Lockie Ferguson,,Bowler,Rising Pune Supergiant,2017,"50,00,000",,,,
Jaydev Unadkat,,Bowler,Rising Pune Supergiant,2017,"30,00,000",,,,
Rahul Chahar,,Bowler,Rising Pune Supergiant,2017,"10,00,000",,,,
Saurabh Kumar,,Bowler,Rising Pune Supergiant,2017,"10,00,000",,,,
Milind Tandon,,All-Rounder,Rising Pune Supergiant,2017,"10,00,000",,,,
Rahul Ajay Tripathi,,All-Rounder,Rising Pune Supergiant,2017,"10,00,000",,,,
Tymal Mills,,Bowler,Royal Challengers Bengaluru,2017,"12,00,00,000",,,,
Aniket Choudhary,,Bowler,Royal Challengers Bengaluru,2017,"2,00,00,000",,,,
Pawan Negi,,All-Rounder,Royal Challengers Bengaluru,2017,"1,00,00,000",,,,
Billy Stanlake,,Bowler,Royal Challengers Bengaluru,2017,"30,00,000",,,,
Praveen Dubey,,All-Rounder,Royal Challengers Bengaluru,2017,"10,00,000",,,,
Rashid Khan Arman,,Bowler,Sunrisers Hyderabad,2017,"4,00,00,000",,,,
Mohammed Siraj,,Bowler,Sunrisers Hyderabad,2017,"2,60,00,000",,,,
Eklavya Dwivedi,,Wicket Keeper,Sunrisers Hyderabad,2017,"75,00,000",,,,
Chris Jordan,,All-Rounder,Sunrisers Hyderabad,2017,"50,00,000",,,,
Mohammad Nabi,,All-Rounder,Sunrisers Hyderabad,2017,"30,00,000",,,,
Ben Laughlin,,Bowler,Sunrisers Hyderabad,2017,"30,00,000",,,,
Pravin Tambe,,Bowler,Sunrisers Hyderabad,2017,"10,00,000",,,,
Tanmay Agarwal,,Batsman,Sunrisers Hyderabad,2017,"10,00,000",,,,
Kedar Jadhav,,All-Rounder,Chennai Super Kings,2018,"7,80,00,000",,,,
Dwayne Bravo,,All-Rounder,Chennai Super Kings,2018,"6,40,00,000",,,,
Karn Sharma,,Bowler,Chennai Super Kings,2018,"5,00,00,000",,,,
Shane Watson,,All-Rounder,Chennai Super Kings,2018,"4,00,00,000",,,,
Shardul Narendra Thakur,,Bowler,Chennai Super Kings,2018,"2,60,00,000",,,,
Ambati Rayudu,,Wicket Keeper,Chennai Super Kings,2018,"2,20,00,000",,,,
Murali Vijay,,Batsman,Chennai Super Kings,2018,"2,00,00,000",,,,
Harbhajan Singh,,Bowler,Chennai Super Kings,2018,"2,00,00,000",,,,
Faf Du Plessis,,Batsman,Chennai Super Kings,2018,"1,60,00,000",,,,
Mark Wood,,Bowler,Chennai Super Kings,2018,"1,50,00,000",,,,
Sam Billings,,Wicket Keeper,Chennai Super Kings,2018,"1,00,00,000",,,,
Imran Tahir,,Bowler,Chennai Super Kings,2018,"1,00,00,000",,,,
Deepak Chahar,,All-Rounder,Chennai Super Kings,2018,"80,00,000",,,,
Mitchell Santner,,All-Rounder,Chennai Super Kings,2018,"50,00,000",,,,
Lungisani Ngidi,,Bowler,Chennai Super Kings,2018,"50,00,000",,,,
Asif K M,,Bowler,Chennai Super Kings,2018,"40,00,000",,,,
N Jagadeesan,,Wicket Keeper,Chennai Super Kings,2018,"20,00,000",,,,
Kanishk Seth,,All-Rounder,Chennai Super Kings,2018,"20,00,000",,,,
Monu Singh,,Bowler,Chennai Super Kings,2018,"20,00,000",,,,
Dhruv Shorey,,All-Rounder,Chennai Super Kings,2018,"20,00,000",,,,
Kshitiz Sharma,,All-Rounder,Chennai Super Kings,2018,"20,00,000",,,,
Chaitanya Bishnoi,,All-Rounder,Chennai Super Kings,2018,"20,00,000",,,,
Glenn Maxwell,,All-Rounder,Delhi Daredevils,2018,"9,00,00,000",,,,
Kagiso Rabada,,Bowler,Delhi Daredevils,2018,"4,20,00,000",,,,
Amit Mishra,,Bowler,Delhi Daredevils,2018,"4,00,00,000",,,,
Shahbaz Nadeem,,Bowler,Delhi Daredevils,2018,"3,20,00,000",,,,
Vijay Shankar,,All-Rounder,Delhi Daredevils,2018,"3,20,00,000",,,,
Rahul Tewatia,,All-Rounder,Delhi Daredevils,2018,"3,00,00,000",,,,
Mohammad Shami,,Bowler,Delhi Daredevils,2018,"3,00,00,000",,,,
Gautam Gambhir,,Batsman,Delhi Daredevils,2018,"2,80,00,000",,,,
Trent Boult,,Bowler,Delhi Daredevils,2018,"2,20,00,000",,,,
Colin Munro,,All-Rounder,Delhi Daredevils,2018,"1,90,00,000",,,,
Daniel Christian,,All-Rounder,Delhi Daredevils,2018,"1,50,00,000",,,,
Jason Roy,,Batsman,Delhi Daredevils,2018,"1,50,00,000",,,,
Naman Ojha,,Wicket Keeper,Delhi Daredevils,2018,"1,40,00,000",,,,
Prithvi Shaw,,Batsman,Delhi Daredevils,2018,"1,20,00,000",,,,
Gurkeerat Singh Mann,,All-Rounder,Delhi Daredevils,2018,"75,00,000",,,,
Avesh Khan,,Bowler,Delhi Daredevils,2018,"70,00,000",,,,
Abhishek Sharma,,All-Rounder,Delhi Daredevils,2018,"55,00,000",,,,
Jayant Yadav,,All-Rounder,Delhi Daredevils,2018,"50,00,000",,,,
Harshal Patel,,All-Rounder,Delhi Daredevils,2018,"20,00,000",,,,
Manjot Kalra,,Batsman,Delhi Daredevils,2018,"20,00,000",,,,
Sandeep Lamichhane,,Bowler,Delhi Daredevils,2018,"20,00,000",,,,
Sayan Ghosh,,Bowler,Delhi Daredevils,2018,"20,00,000",,,,
KL Rahul,,Batsman,Kings XI Punjab,2018,"11,00,00,000",,,,
Ravichandran Ashwin,,All-Rounder,Kings XI Punjab,2018,"7,60,00,000",,,,
Andrew Tye,,Bowler,Kings XI Punjab,2018,"7,20,00,000",,,,
Aaron Finch,,Batsman,Kings XI Punjab,2018,"6,20,00,000",,,,
Marcus Stoinis,,All-Rounder,Kings XI Punjab,2018,"6,20,00,000",,,,
Karun Nair,,Batsman,Kings XI Punjab,2018,"5,60,00,000",,,,
Mujeeb Zadran,,Bowler,Kings XI Punjab,2018,"4,00,00,000",,,,
Ankit Singh Rajpoot,,Bowler,Kings XI Punjab,2018,"3,00,00,000",,,,
David Miller,,Batsman,Kings XI Punjab,2018,"3,00,00,000",,,,
Mohit Sharma,,Bowler,Kings XI Punjab,2018,"2,40,00,000",,,,
Barinder Singh Sran,,Bowler,Kings XI Punjab,2018,"2,20,00,000",,,,
Yuvraj Singh,,All-Rounder,Kings XI Punjab,2018,"2,00,00,000",,,,
Christopher Gayle,,Batsman,Kings XI Punjab,2018,"2,00,00,000",,,,
Ben Dwarshuis,,Bowler,Kings XI Punjab,2018,"1,40,00,000",,,,
Akshdeep Nath,,All-Rounder,Kings XI Punjab,2018,"1,00,00,000",,,,
Manoj Tiwary,,Batsman,Kings XI Punjab,2018,"1,00,00,000",,,,
Mayank Agarwal,,Batsman,Kings XI Punjab,2018,"1,00,00,000",,,,
Manzoor Dar,,All-Rounder,Kings XI Punjab,2018,"20,00,000",,,,
Pardeep Sahu,,Bowler,Kings XI Punjab,2018,"20,00,000",,,,
Mayank Dagar,,All-Rounder,Kings XI Punjab,2018,"20,00,000",,,,
Chris Lynn,,Batsman,Kolkata Knight Riders,2018,"9,60,00,000",,,,
Mitchell Starc,,Bowler,Kolkata Knight Riders,2018,"9,40,00,000",,,,
Dinesh Karthik,,Wicket Keeper,Kolkata Knight Riders,2018,"7,40,00,000",,,,
Robin Uthappa,,Wicket Keeper,Kolkata Knight Riders,2018,"6,40,00,000",,,,
Kuldeep Singh Yadav,,Bowler,Kolkata Knight Riders,2018,"5,80,00,000",,,,
Piyush Chawla,,Bowler,Kolkata Knight Riders,2018,"4,20,00,000",,,,
Nitish Rana,,All-Rounder,Kolkata Knight Riders,2018,"3,40,00,000",,,,
Kamlesh Nagarkoti,,All-Rounder,Kolkata Knight Riders,2018,"3,20,00,000",,,,
Shivam Mavi,,All-Rounder,Kolkata Knight Riders,2018,"3,00,00,000",,,,
Mitchell Johnson,,Bowler,Kolkata Knight Riders,2018,"2,00,00,000",,,,
Shubman Gill,,Batsman,Kolkata Knight Riders,2018,"1,80,00,000",,,,
Ranganath Vinay Kumar,,Bowler,Kolkata Knight Riders,2018,"1,00,00,000",,,,
Rinku Singh,,Batsman,Kolkata Knight Riders,2018,"80,00,000",,,,
Cameron Delport,,All-Rounder,Kolkata Knight Riders,2018,"30,00,000",,,,
Javon Searless,,All-Rounder,Kolkata Knight Riders,2018,"30,00,000",,,,
Apoorv Vijay Wankhade,,Batsman,Kolkata Knight Riders,2018,"20,00,000",,,,
Ishank Jaggi,,Batsman,Kolkata Knight Riders,2018,"20,00,000",,,,
Krunal Pandya,,All-Rounder,Mumbai Indians,2018,"8,80,00,000",,,,
Ishan Kishan,,Wicket Keeper,Mumbai Indians,2018,"6,20,00,000",,,,
Kieron Pollard,,All-Rounder,Mumbai Indians,2018,"5,40,00,000",,,,
Pat Cummins,,Bowler,Mumbai Indians,2018,"5,40,00,000",,,,
Evin Lewis,,Batsman,Mumbai Indians,2018,"3,80,00,000",,,,
Suryakumar Yadav,,Batsman,Mumbai Indians,2018,"3,20,00,000",,,,
Ben Cutting,,All-Rounder,Mumbai Indians,2018,"2,20,00,000",,,,
Mustafizur Rahman,,Bowler,Mumbai Indians,2018,"2,20,00,000",,,,
Rahul Chahar,,Bowler,Mumbai Indians,2018,"1,90,00,000",,,,
Pradeep Sangwan,,Bowler,Mumbai Indians,2018,"1,50,00,000",,,,
Jason Behrendorff,,Bowler,Mumbai Indians,2018,"1,50,00,000",,,,
Jean-Paul Duminy,,All-Rounder,Mumbai Indians,2018,"1,00,00,000",,,,
Saurabh Tiwary,,Batsman,Mumbai Indians,2018,"80,00,000",,,,
Tajinder Dhillon,,All-Rounder,Mumbai Indians,2018,"55,00,000",,,,
Akila Dhananjaya,,Bowler,Mumbai Indians,2018,"50,00,000",,,,
Nidheesh M D Dinesan,,Bowler,Mumbai Indians,2018,"20,00,000",,,,
Aditya Tare,,Wicket Keeper,Mumbai Indians,2018,"20,00,000",,,,
Siddhesh Dinesh Lad,,Batsman,Mumbai Indians,2018,"20,00,000",,,,
Mayank Markande,,Bowler,Mumbai Indians,2018,"20,00,000",,,,
Sharad Lumba,,Batsman,Mumbai Indians,2018,"20,00,000",,,,
Anukul Roy,,All-Rounder,Mumbai Indians,2018,"20,00,000",,,,
Mohsin Khan,,Bowler,Mumbai Indians,2018,"20,00,000",,,,
Benjamin Stokes,,All-Rounder,Rajasthan Royals,2018,"12,50,00,000",,,,
Jaydev Unadkat,,Bowler,Rajasthan Royals,2018,"11,50,00,000",,,,
Sanju Samson,,Wicket Keeper,Rajasthan Royals,2018,"8,00,00,000",,,,
Jofra Archer,,All-Rounder,Rajasthan Royals,2018,"7,20,00,000",,,,
Krishnappa Gowtham,,Bowler,Rajasthan Royals,2018,"6,20,00,000",,,,
Jos Buttler,,Wicket Keeper,Rajasthan Royals,2018,"4,40,00,000",,,,
Ajinkya Rahane,,Batsman,Rajasthan Royals,2018,"4,00,00,000",,,,
Darcy Short,,All-Rounder,Rajasthan Royals,2018,"4,00,00,000",,,,
Rahul Tripathi,,Batsman,Rajasthan Royals,2018,"3,40,00,000",,,,
Dhawal Kulkarni,,Bowler,Rajasthan Royals,2018,"75,00,000",,,,
Zahir Khan Pakteen,,Bowler,Rajasthan Royals,2018,"60,00,000",,,,
Ben Laughlin,,Bowler,Rajasthan Royals,2018,"50,00,000",,,,
Stuart Binny,,All-Rounder,Rajasthan Royals,2018,"50,00,000",,,,
Dushmantha Chameera,,Bowler,Rajasthan Royals,2018,"50,00,000",,,,
Anureet Singh,,Bowler,Rajasthan Royals,2018,"30,00,000",,,,
Aryaman Vikram Birla,,All-Rounder,Rajasthan Royals,2018,"30,00,000",,,,
Midhun S,,All-Rounder,Rajasthan Royals,2018,"20,00,000",,,,
Shreyas Gopal,,All-Rounder,Rajasthan Royals,2018,"20,00,000",,,,
Prashant Chopra,,Wicket Keeper,Rajasthan Royals,2018,"20,00,000",,,,
Jatin Saxena,,All-Rounder,Rajasthan Royals,2018,"20,00,000",,,,
Ankit Sharma,,All-Rounder,Rajasthan Royals,2018,"20,00,000",,,,
Mahipal Lomror,,All-Rounder,Rajasthan Royals,2018,"20,00,000",,,,
Chris Woakes,,All-Rounder,Royal Challengers Bengaluru,2018,"7,40,00,000",,,,
Yuzvendra Singh Chahal,,Bowler,Royal Challengers Bengaluru,2018,"6,00,00,000",,,,
Umesh Yadav,,Bowler,Royal Challengers Bengaluru,2018,"4,20,00,000",,,,
Brendon McCullum,,Batsman,Royal Challengers Bengaluru,2018,"3,60,00,000",,,,
M.S. Washington Sundar,,All-Rounder,Royal Challengers Bengaluru,2018,"3,20,00,000",,,,
Navdeep Saini,,Bowler,Royal Challengers Bengaluru,2018,"3,00,00,000",,,,
Quinton De Kock,,Wicket Keeper,Royal Challengers Bengaluru,2018,"2,80,00,000",,,,
Mohammed Siraj,,Bowler,Royal Challengers Bengaluru,2018,"2,60,00,000",,,,
Nathan Coulter-Nile,,Bowler,Royal Challengers Bengaluru,2018,"2,20,00,000",,,,
Colin De Grandhomme,,All-Rounder,Royal Challengers Bengaluru,2018,"2,20,00,000",,,,
M. Ashwin,,Bowler,Royal Challengers Bengaluru,2018,"2,20,00,000",,,,
Parthiv Patel,,Wicket Keeper,Royal Challengers Bengaluru,2018,"1,70,00,000",,,,
Moeen Ali,,All-Rounder,Royal Challengers Bengaluru,2018,"1,70,00,000",,,,
Mandeep Singh,,All-Rounder,Royal Challengers Bengaluru,2018,"1,40,00,000",,,,
Manan Vohra,,Batsman,Royal Challengers Bengaluru,2018,"1,10,00,000",,,,
Pawan Negi,,All-Rounder,Royal Challengers Bengaluru,2018,"1,00,00,000",,,,
Tim Southee,,Bowler,Royal Challengers Bengaluru,2018,"1,00,00,000",,,,
Kulwant Khejroliya,,Bowler,Royal Challengers Bengaluru,2018,"85,00,000",,,,
Aniket Choudhary,,Bowler,Royal Challengers Bengaluru,2018,"30,00,000",,,,
Pavan Deshpande,,All-Rounder,Royal Challengers Bengaluru,2018,"20,00,000",,,,
Anirudha Ashok Joshi,,All-Rounder,Royal Challengers Bengaluru,2018,"20,00,000",,,,
Manish Pandey,,Batsman,Sunrisers Hyderabad,2018,"11,00,00,000",,,,
Rashid Khan Arman,,Bowler,Sunrisers Hyderabad,2018,"9,00,00,000",,,,
Shikhar Dhawan,,Batsman,Sunrisers Hyderabad,2018,"5,20,00,000",,,,
Wriddhiman Saha,,Wicket Keeper,Sunrisers Hyderabad,2018,"5,00,00,000",,,,
Siddarth Kaul,,Bowler,Sunrisers Hyderabad,2018,"3,80,00,000",,,,
Deepak Hooda,,All-Rounder,Sunrisers Hyderabad,2018,"3,60,00,000",,,,
Syed Khaleel Ahmed,,Bowler,Sunrisers Hyderabad,2018,"3,00,00,000",,,,
Sandeep Sharma,,Bowler,Sunrisers Hyderabad,2018,"3,00,00,000",,,,
Kane Williamson,,Batsman,Sunrisers Hyderabad,2018,"3,00,00,000",,,,
Carlos Brathwaite,,All-Rounder,Sunrisers Hyderabad,2018,"2,00,00,000",,,,
Shakib Al Hasan,,All-Rounder,Sunrisers Hyderabad,2018,"2,00,00,000",,,,
Yusuf Pathan,,All-Rounder,Sunrisers Hyderabad,2018,"1,90,00,000",,,,
Shreevats Goswami,,Wicket Keeper,Sunrisers Hyderabad,2018,"1,00,00,000",,,,
Mohammad Nabi,,All-Rounder,Sunrisers Hyderabad,2018,"1,00,00,000",,,,
Chris Jordan,,All-Rounder,Sunrisers Hyderabad,2018,"1,00,00,000",,,,
Basil Thampi,,Bowler,Sunrisers Hyderabad,2018,"95,00,000",,,,
Billy Stanlake,,Batsman,Sunrisers Hyderabad,2018,"50,00,000",,,,
T Natarajan,,Bowler,Sunrisers Hyderabad,2018,"40,00,000",,,,
Sachin Baby,,Batsman,Sunrisers Hyderabad,2018,"20,00,000",,,,
Bipul Sharma,,All-Rounder,Sunrisers Hyderabad,2018,"20,00,000",,,,
Syed Mehdi Hasan,,All-Rounder,Sunrisers Hyderabad,2018,"20,00,000",,,,
Ricky Bhui,,Batsman,Sunrisers Hyderabad,2018,"20,00,000",,,,
Tanmay Agarwal,,Batsman,Sunrisers Hyderabad,2018,"20,00,000",,,,
Mohit Sharma,,Bowler,Chennai Super Kings,2019,"5,00,00,000",,,,
Ruturaj Gaikwad,,Batsman,Chennai Super Kings,2019,"20,00,000",,,,
Colin Ingram,,Batsman,Delhi Capitals,2019,"6,40,00,000",,,,
Axar Rajesh Patel,,All-Rounder,Delhi Capitals,2019,"5,00,00,000",,,,
Hanuma Vihari,,Batsman,Delhi Capitals,2019,"2,00,00,000",,,,
Sherfane Rutherford,,All-Rounder,Delhi Capitals,2019,"2,00,00,000",,,,
Ishant Sharma,,Bowler,Delhi Capitals,2019,"1,10,00,000",,,,
Keemo Paul,,All-Rounder,Delhi Capitals,2019,"50,00,000",,,,
Jalaj Saxena,,All-Rounder,Delhi Capitals,2019,"20,00,000",,,,
Ankush Bains,,Wicket Keeper,Delhi Capitals,2019,"20,00,000",,,,
Nathu Singh,,Bowler,Delhi Capitals,2019,"20,00,000",,,,
Bandaru Ayyappa,,Bowler,Delhi Capitals,2019,"20,00,000",,,,
Varun Chakaravarthy,,All-Rounder,Kings XI Punjab,2019,"8,40,00,000",,,,
Sam Curran,,All-Rounder,Kings XI Punjab,2019,"7,20,00,000",,,,
Mohammad Shami,,Bowler,Kings XI Punjab,2019,"4,80,00,000",,,,
Prabhsimran Singh,,Wicket Keeper,Kings XI Punjab,2019,"4,80,00,000",,,,
Nicolas Pooran,,Wicket Keeper,Kings XI Punjab,2019,"4,20,00,000",,,,
Moises Henriques,,All-Rounder,Kings XI Punjab,2019,"1,00,00,000",,,,
Hardus Viljoen,,Bowler,Kings XI Punjab,2019,"75,00,000",,,,
Darshan Nalkande,,All-Rounder,Kings XI Punjab,2019,"30,00,000",,,,
Sarfaraz Naushad Khan,,All-Rounder,Kings XI Punjab,2019,"25,00,000",,,,
Arshdeep Singh,,Bowler,Kings XI Punjab,2019,"20,00,000",,,,
Agnivesh Ayachi,,All-Rounder,Kings XI Punjab,2019,"20,00,000",,,,
Harpreet Brar,,All-Rounder,Kings XI Punjab,2019,"20,00,000",,,,
M. Ashwin,,Bowler,Kings XI Punjab,2019,"20,00,000",,,,
Carlos Brathwaite,,All-Rounder,Kolkata Knight Riders,2019,"5,00,00,000",,,,
Lockie Ferguson,,Bowler,Kolkata Knight Riders,2019,"1,60,00,000",,,,
Joe Denly,,Batsman,Kolkata Knight Riders,2019,"1,00,00,000",,,,
Harry Gurney,,Bowler,Kolkata Knight Riders,2019,"75,00,000",,,,
Nikhil Shankar Naik,,Wicket Keeper,Kolkata Knight Riders,2019,"20,00,000",,,,
Shrikant Mundhe,,All-Rounder,Kolkata Knight Riders,2019,"20,00,000",,,,
Prithvi Raj Yarra,,Bowler,Kolkata Knight Riders,2019,"20,00,000",,,,
Anrich Nortje,,Bowler,Kolkata Knight Riders,2019,"20,00,000",,,,
Barinder Singh Sran,,Bowler,Mumbai Indians,2019,"3,40,00,000",,,,
Lasith Malinga,,Bowler,Mumbai Indians,2019,"2,00,00,000",,,,
Yuvraj Singh,,All-Rounder,Mumbai Indians,2019,"1,00,00,000",,,,
Anmolpreet Singh,,Batsman,Mumbai Indians,2019,"80,00,000",,,,
Pankaj Jaswal,,All-Rounder,Mumbai Indians,2019,"20,00,000",,,,
Rasikh Dar,,Bowler,Mumbai Indians,2019,"20,00,000",,,,
Jaydev Unadkat,,Bowler,Rajasthan Royals,2019,"8,40,00,000",,,,
Varun Aaron,,Bowler,Rajasthan Royals,2019,"2,40,00,000",,,,
Oshane Thomas,,Bowler,Rajasthan Royals,2019,"1,10,00,000",,,,
Ashton Turner,,All-Rounder,Rajasthan Royals,2019,"50,00,000",,,,
Liam Livingstone,,All-Rounder,Rajasthan Royals,2019,"50,00,000",,,,
Shashank Singh,,All-Rounder,Rajasthan Royals,2019,"30,00,000",,,,
Riyan Parag,,All-Rounder,Rajasthan Royals,2019,"20,00,000",,,,
Manan Vohra,,Batsman,Rajasthan Royals,2019,"20,00,000",,,,
Shubham Ranjane,,All-Rounder,Rajasthan Royals,2019,"20,00,000",,,,
Shivam Dube,,All-Rounder,Royal Challengers Bengaluru,2019,"5,00,00,000",,,,
Shimron Hetmyer,,Batsman,Royal Challengers Bengaluru,2019,"4,20,00,000",,,,
Akshdeep Nath,,All-Rounder,Royal Challengers Bengaluru,2019,"3,60,00,000",,,,
Prayas Ray Barman,,All-Rounder,Royal Challengers Bengaluru,2019,"1,50,00,000",,,,
Himmat Singh,,Batsman,Royal Challengers Bengaluru,2019,"65,00,000",,,,
Gurkeerat Singh Mann,,All-Rounder,Royal Challengers Bengaluru,2019,"50,00,000",,,,
Heinrich Klaasen,,Wicket Keeper,Royal Challengers Bengaluru,2019,"50,00,000",,,,
Devdutt Padikkal,,Batsman,Royal Challengers Bengaluru,2019,"20,00,000",,,,
Milind Kumar,,All-Rounder,Royal Challengers Bengaluru,2019,"20,00,000",,,,
Jonny Bairstow,,Wicket Keeper,Sunrisers Hyderabad,2019,"2,20,00,000",,,,
Wriddhiman Saha,,Wicket Keeper,Sunrisers Hyderabad,2019,"1,20,00,000",,,,
Martin Guptill,,Batsman,Sunrisers Hyderabad,2019,"1,00,00,000",,,,
Piyush Chawla,,Bowler,Chennai Super Kings,2020,"6,75,00,000",,,,
Sam Curran,,All-Rounder,Chennai Super Kings,2020,"5,50,00,000",,,,
Josh Hazlewood,,Bowler,Chennai Super Kings,2020,"2,00,00,000",,,,
R. Sai Kishore,,Bowler,Chennai Super Kings,2020,"20,00,000",,,,
Shimron Hetmyer,,Batsman,Delhi Capitals,2020,"7,75,00,000",,,,
Marcus Stoinis,,All-Rounder,Delhi Capitals,2020,"4,80,00,000",,,,
Alex Carey,,Wicket Keeper,Delhi Capitals,2020,"2,40,00,000",,,,
Jason Roy,,Batsman,Delhi Capitals,2020,"1,50,00,000",,,,
Chris Woakes,,All-Rounder,Delhi Capitals,2020,"1,50,00,000",,,,
Mohit Sharma,,Bowler,Delhi Capitals,2020,"50,00,000",,,,
