player_name,team_2026
Bhagath Varma,Chennai Super Kings
Bhanuka Rajapaksa,Punjab Kings
Bhuvneshwar Kumar,Royal Challengers Bengaluru
Billy Stanlake,Sunrisers Hyderabad
Bipul Sharma,Sunrisers Hyderabad
Brad Hodge,Rajasthan Royals
Brad Hogg,Kolkata Knight Riders
Brendan Taylor,Sunrisers Hyderabad
Brendon McCullum,Royal Challengers Bengaluru
Brijesh Sharma,Rajasthan Royals
Brydon Carse,Sunrisers Hyderabad
C Hari Nishaanth,Chennai Super Kings
C.Hari Nishaanth,Chennai Super Kings
C.M. Gautam,Delhi Daredevils
Cameron Delport,Kolkata Knight Riders
Cameron Green,Kolkata Knight Riders
Carlos Brathwaite,Kolkata Knight Riders
Chaitanya Bishnoi,Chennai Super Kings
Chama Milind,Royal Challengers Bangalore
Chamika Karunaratne,Kolkata Knight Riders
Chetan Sakariya,Kolkata Knight Riders
Cheteshwar Pujara,Chennai Super Kings
Chirag Suri,Gujarat Lions
Chris Green,Kolkata Knight Riders
Chris Jordan,Chennai Super Kings
Chris Lynn,Mumbai Indians
Chris Woakes,Punjab Kings
Christopher Barnwell,Royal Challengers Bengaluru
Christopher Gayle,Kings XI Punjab
Christopher Morris,Rajasthan Royals
Clinton McKay,Sunrisers Hyderabad
Colin De Grandhomme,Royal Challengers Bengaluru
Colin Ingram,Delhi Capitals
Colin Munro,Delhi Daredevils
Cooper Connolly,Punjab Kings
Corey Anderson,Delhi Daredevils
Daksh Kamra,Kolkata Knight Riders
Dale Steyn,Royal Challengers Bengaluru
Dan Christian,Royal Challengers Bengaluru
Daniel Christian,Delhi Daredevils
Daniel Sams,Lucknow Super Giants
Danish Malewar,Mumbai Indians
Darcy Short,Rajasthan Royals
Darren Bravo,Kolkata Knight Riders
Darren Sammy,Kings XI Punjab
Darshan Nalkande,Delhi Capitals
Daryl Mitchell,Chennai Super Kings
David Miller,Delhi Capitals
David Warner,Delhi Capitals
David Wiese,Kolkata Knight Riders
David Willey,Lucknow Super Giants
Dawid Malan,Punjab Kings
Debabrata Das,Kolkata Knight Riders
Deepak Chahar,Mumbai Indians
Deepak Hooda,Chennai Super Kings
Deepak Punia,Mumbai Indians
Devdutt Padikkal,Royal Challengers Bengaluru
Devon Conway,Chennai Super Kings
Dewald Brevis,Mumbai Indians
Dhawal Kulkarni,Rajasthan Royals
Dhruv Jurel,Rajasthan Royals
Dhruv Shorey,Chennai Super Kings
Digvesh Singh,Lucknow Super Giants
Digvijay Deshmukh,Mumbai Indians
Dilshan Madushanka,Mumbai Indians
Dinesh  Karthik,Royal Challengers Bangalore
Dinesh Karthik,Kolkata Knight Riders
Dinesh Salunkhe,Rajasthan Royals
Dirk Nannes,Chennai Super Kings
Dishant Yagnik,Rajasthan Royals
Dominic Drakes,Gujarat Titans
Domnic Joseph Muthuswamy,Delhi Daredevils
Donovan Ferreira,Delhi Capitals
Duan Jansen,Mumbai Indians
Dushmanta Chameera,Lucknow Super Giants
Dushmantha Chameera,Delhi Capitals
Dwaine Pretorius,Chennai Super Kings
Dwayne Bravo,Chennai Super Kings
Dwayne Smith,Gujarat Lions
Eklavya Dwivedi,Sunrisers Hyderabad
Eoin Morgan,Kolkata Knight Riders
Eshan Malinga,Sunrisers Hyderabad
Evin Lewis,Lucknow Super Giants
Fabian Allen,Mumbai Indians
Faf Du Plessis,Delhi Capitals
Farhaan Behardien,Kings XI Punjab
Fazalhaq Farooqi,Rajasthan Royals
Fidel Edwards,Rajasthan Royals
Finn Allen,Kolkata Knight Riders
Gautam Gambhir,Delhi Daredevils
George Bailey,Kings XI Punjab
Gerald Coetzee,Gujarat Titans
Glenn Maxwell,Punjab Kings
Glenn Phillips,Gujarat Titans
Gurinder Sandhu,Delhi Daredevils
Gurjapneet Singh,Chennai Super Kings
Gurkeerat Singh,Gujarat Titans
Gurkeerat Singh Mann,Royal Challengers Bengaluru
Gurkirat Singh Mann,Kings XI Punjab
Gurnoor Singh Brar,Gujarat Titans
Gus Atkinson,Kolkata Knight Riders
HS Sharath,Delhi Daredevils
Hanuma Vihari,Delhi Capitals
Harbhajan Singh,Kolkata Knight Riders
Hardik Pandya,Mumbai Indians
Hardus Viljoen,Kings XI Punjab
Harnoor Pannu,Punjab Kings
Harpreet  Brar,Punjab Kings
Harpreet Bhatia,Punjab Kings
Harpreet Brar,Kings XI Punjab
Harry Brook,Delhi Capitals
Harry Gurney,Kolkata Knight Riders
Harshal Patel,Sunrisers Hyderabad
Heinrich Klaasen,Sunrisers Hyderabad
Himanshu Sharma,Royal Challengers Bangalore
Himmat Singh,Lucknow Super Giants
Hrithik Shokeen,Mumbai Indians
Imran Tahir,Chennai Super Kings
Iqbal Abdullah,Royal Challengers Bengaluru
Irfan Pathan,Rising Pune Supergiant
Ishan Kishan,Sunrisers Hyderabad
Ishan Porel,Punjab Kings
Ishank Jaggi,Kolkata Knight Riders
Ishant Sharma,Gujarat Titans
Ishwar Chandra Pandey,Rising Pune Supergiant
Isuru Udana,Royal Challengers Bengaluru
J Suchith,Sunrisers Hyderabad
J. Suchitch,Mumbai Indians
Jack Edwards,Sunrisers Hyderabad
Jacob Bethell,Royal Challengers Bengaluru
Jacob Duffy,Royal Challengers Bengaluru
Jacob Oram,Mumbai Indians
Jacques Kallis,Kolkata Knight Riders
Jagadeesha Suchith,Sunrisers Hyderabad
Jake Fraser-Mcgurk,Delhi Capitals
Jalaj Saxena,Punjab Kings
James Faulkner,Rajasthan Royals
James Neesham,Rajasthan Royals
Jamie Overton,Chennai Super Kings
Jaskaran Singh,Rising Pune Supergiant
Jason Behrendorff,Royal Challengers Bangalore
Jason Holder,Gujarat Titans
Jason Roy,Gujarat Titans
Jasprit Bumrah,Mumbai Indians
Jatin Saxena,Rajasthan Royals
Javon Searless,Kolkata Knight Riders
Jayant Yadav,Gujarat Titans
Jaydev Shah,Gujarat Lions
Jaydev Unadkat,Sunrisers Hyderabad
Jean-Paul Duminy,Mumbai Indians
Jeevan Mendis,Delhi Daredevils
Jesse Ryder,Delhi Daredevils
Jhathavedh Subramanyan,Sunrisers Hyderabad
Jhye Richardson,Delhi Capitals
Jitesh Sharma,Royal Challengers Bengaluru
Joe Denly,Kolkata Knight Riders
Joe Root,Rajasthan Royals
Joel Paris,Delhi Daredevils
Jofra Archer,Rajasthan Royals
Johan Botha,Delhi Daredevils
John Hastings,Kolkata Knight Riders
Jonny Bairstow,Punjab Kings
Jordan Cox,Royal Challengers Bengaluru
Jos  Buttler,Gujarat Titans
Jos Buttler,Rajasthan Royals
Josh Hazlewood,Royal Challengers Bengaluru
Josh Inglis,Lucknow Super Giants
Joshua Little,Gujarat Titans
Joshua Philippe,Royal Challengers Bengaluru
Juan Theron,Rajasthan Royals
K. Gowtham,Lucknow Super Giants
K.Bhagath Varma,Chennai Super Kings
K.C Cariappa,Rajasthan Royals
K.C. Cariappa,Kings XI Punjab
K.K. Jiyaz,Delhi Daredevils
K.M. Asif,Rajasthan Royals
K.S. Bharat,Kolkata Knight Riders
KL Rahul,Delhi Capitals
Kagiso Rabada,Gujarat Titans
Kamindu Mendis,Sunrisers Hyderabad
Kamlesh Nagarkoti,Chennai Super Kings
Kane Richardson,Royal Challengers Bengaluru
Kane Williamson,Gujarat Titans
Kanishk Chouhan,Royal Challengers Bengaluru
Kanishk Seth,Chennai Super Kings
Karan Sharma,Lucknow Super Giants
Karanveer Singh,Kings XI Punjab
Karim Janat,Gujarat Titans
Karn Sharma,Mumbai Indians
Kartik Sharma,Chennai Super Kings
Kartik Tyagi,Kolkata Knight Riders
Karun Nair,Delhi Capitals
Kedar Jadhav,Sunrisers Hyderabad
Keemo Paul,Delhi Capitals
Kevin Pietersen,Rising Pune Supergiant
Kevon Cooper,Rajasthan Royals
Kieron Pollard,Mumbai Indians
Kishore Pramod Kamath,Mumbai Indians
Kona Srikar Bharat,Royal Challengers Bengaluru
Krains Fuletra,Sunrisers Hyderabad
Krishnappa Gowtham,Chennai Super Kings
Krismar Santokie,Mumbai Indians
Krunal Pandya,Royal Challengers Bengaluru
Kshitiz Sharma,Chennai Super Kings
Kuldeep  Sen,Punjab Kings
Kuldeep Sen,Rajasthan Royals
Kuldeep Singh Yadav,Kolkata Knight Riders
Kuldeep Yadav,Delhi Capitals
Kuldip Yadav,Rajasthan Royals
Kulwant Khejroliya,Gujarat Titans
Kumar Kartikeya Singh,Rajasthan Royals
Kumar Kushagra,Gujarat Titans
Kunal Rathore,Rajasthan Royals
Kusal Janith Perera,Rajasthan Royals
Kwena Maphaka,Rajasthan Royals
Kyle Abbott,Kings XI Punjab
Kyle Jamieson,Delhi Capitals
Kyle Mayers,Lucknow Super Giants
Lakshmipathy Balaji,Kings XI Punjab
Lalit Yadav,Delhi Capitals
Lasith Malinga,Mumbai Indians
Laxmi Ratan Shukla,Sunrisers Hyderabad
Liam Livingstone,Sunrisers Hyderabad
Litton Das,Kolkata Knight Riders
Lizaad Williams,Mumbai Indians
Lockie Ferguson,Punjab Kings
Luke Pomersbach,Kings XI Punjab
Luke Wood,Gujarat Titans
Lukman Hussain Meriwala,Delhi Capitals
Lungisani Ngidi,Delhi Capitals
Luvnith Sisodia,Kolkata Knight Riders
M Siddharth,Delhi Capitals
M. Ashwin,Kings XI Punjab
M. Harisankar Reddy,Chennai Super Kings
M. Siddharth,Lucknow Super Giants
M.S. Washington Sundar,Royal Challengers Bengaluru
Madhav Tiwari,Delhi Capitals
Maheesh Theekshana,Rajasthan Royals
Mahipal Lomror,Gujarat Titans
Manan Ajay Sharma,Kolkata Knight Riders
Manan Vohra,Lucknow Super Giants
Manav Suthar,Gujarat Titans
Mandeep Hardev Singh,Kings XI Punjab
Mandeep Singh,Kolkata Knight Riders
Mangesh Yadav,Royal Challengers Bengaluru
Manish Pandey,Kolkata Knight Riders
Manjot Kalra,Delhi Daredevils
Manoj Bhandage,Royal Challengers Bengaluru
Manoj Tiwary,Kings XI Punjab
Manpreet Gony,Gujarat Lions
Manprit Juneja,Sunrisers Hyderabad
Manvanth Kumar L,Delhi Capitals
Manvinder Bisla,Kolkata Knight Riders
Manzoor Dar,Kings XI Punjab
Marchant De Lange,Mumbai Indians
Marco Jansen,Punjab Kings
Marcus Stoinis,Punjab Kings
Mark Wood,Lucknow Super Giants
Martin Guptill,Sunrisers Hyderabad
Matheesha Pathirana,Kolkata Knight Riders
Matt Henry,Chennai Super Kings
Matthew Breetzke,Lucknow Super Giants
Matthew Short,Chennai Super Kings
Matthew Wade,Gujarat Titans
Mayank Agarwal,Sunrisers Hyderabad
Mayank Dagar,Sunrisers Hyderabad
Mayank Markande,Kolkata Knight Riders
Mayank Rawat,Mumbai Indians
Mayank Yadav,Lucknow Super Giants
Michael Clarke,Pune Warriors India
Michael Hussey,Chennai Super Kings
Midhun S,Rajasthan Royals
Milind Kumar,Royal Challengers Bengaluru
Milind Tandon,Rising Pune Supergiant
Mitchell  Starc,Kolkata Knight Riders
Mitchell Johnson,Kolkata Knight Riders
Mitchell Marsh,Lucknow Super Giants
Mitchell McClenaghan,Mumbai Indians
Mitchell Santner,Mumbai Indians
Mitchell Starc,Delhi Capitals
Mithun Manhas,Chennai Super Kings
Moeen Ali,Kolkata Knight Riders
Mohammad  Nabi,Kolkata Knight Riders
Mohammad Izhar,Mumbai Indians
Mohammad Nabi,Mumbai Indians
Mohammad Shami,Sunrisers Hyderabad
Mohammad Siraj,Gujarat Titans
Mohammed Azharudeen,Royal Challengers Bengaluru
Mohammed Siraj,Royal Challengers Bengaluru
Mohd. Arshad Khan,Gujarat Titans
Mohit Rathee,Royal Challengers Bengaluru
Mohit Sharma,Delhi Capitals
Mohsin Khan,Lucknow Super Giants
Moises Henriques,Punjab Kings
Monu Singh,Chennai Super Kings
Morne Morkel,Kolkata Knight Riders
Mujeeb Rahman,Kolkata Knight Riders
Mujeeb Zadran,Sunrisers Hyderabad
Mukesh Choudhary,Chennai Super Kings
Mukesh Kumar,Delhi Capitals
Mukul Choudhary,Lucknow Super Giants
Munaf Patel,Gujarat Lions
Murali Kartik,Kings XI Punjab
Murali Vijay,Chennai Super Kings
Murugan Ashwin,Rajasthan Royals
Musheer Khan,Punjab Kings
Mustafizur Rahman,Kolkata Knight Riders
Muttiah Muralitharan,Royal Challengers Bengaluru
N Jagadeesan,Chennai Super Kings
N. Jagadeesan,Kolkata Knight Riders
N. Tilak Varma,Mumbai Indians
Naman Dhir,Mumbai Indians
Naman Ojha,Delhi Daredevils
Naman Tiwari,Lucknow Super Giants
Nandre Burger,Rajasthan Royals
Nathan Coulter-Nile,Rajasthan Royals
Nathan Ellis,Chennai Super Kings
Nathan McCullum,Sunrisers Hyderabad
Nathu Singh,Delhi Capitals
Navdeep Saini,Rajasthan Royals
Naveen Ul Haq,Lucknow Super Giants
Nehal Wadhera,Punjab Kings
Nic Maddinson,Royal Challengers Bengaluru
Nicholas Pooran,Lucknow Super Giants
Nicolas Pooran,Kings XI Punjab
Nidheesh M D Dinesan,Mumbai Indians
Nikhil Shankar Naik,Kolkata Knight Riders
Nishant Sindhu,Gujarat Titans
Nitish Kumar Reddy,Sunrisers Hyderabad
Nitish Rana,Rajasthan Royals
Noor  Ahmad,Gujarat Titans
Noor Ahmad,Chennai Super Kings
Nuwan Thushara,Royal Challengers Bengaluru
Obed Mccoy,Rajasthan Royals
Odean Smith,Gujarat Titans
Onkar Tarmale,Sunrisers Hyderabad
Oshane Thomas,Rajasthan Royals
Pankaj Jaswal,Mumbai Indians
Pankaj Singh,Royal Challengers Bengaluru
Paras Dogra,Gujarat Lions
Pardeep Sahu,Kings XI Punjab
Parthiv Patel,Royal Challengers Bengaluru
Parveez Rasool,Sunrisers Hyderabad
Parvinder Awana,Kings XI Punjab
Pat Cummins,Sunrisers Hyderabad
Pathum Nissanka,Delhi Capitals
Patrick Cummins,Delhi Daredevils
Pavan Deshpande,Royal Challengers Bengaluru
Pawan Negi,Kolkata Knight Riders
Pawan Suyal,Delhi Daredevils
Peter Handscomb,Rising Pune Supergiant
Phil Salt,Royal Challengers Bengaluru
Philip Hughes,Mumbai Indians
Piyush Chawla,Mumbai Indians
Prabhsimran Singh,Punjab Kings
Pradeep Sangwan,Gujarat Titans
Praful Hinge,Sunrisers Hyderabad
Pragyan Ojha,Mumbai Indians
Prasanth Padmanabhan,Sunrisers Hyderabad
Prasanth Parameswaran,Sunrisers Hyderabad
Prashant Chopra,Rajasthan Royals
Prashant Solanki,Kolkata Knight Riders
Prashant Veer,Chennai Super Kings
Prasidh Krishna,Gujarat Titans
Pratham Singh,Kolkata Knight Riders
Pratyush Singh,Delhi Daredevils
Praveen Dubey,Royal Challengers Bengaluru
Praveen Kumar,Gujarat Lions
Pravin Dubey,Punjab Kings
Pravin Tambe,Kolkata Knight Riders
Prayas Ray Barman,Royal Challengers Bengaluru
Prerak Mankad,Lucknow Super Giants
Prince Balwant Rai Singh,Mumbai Indians
Prince Choudhary,Punjab Kings
Prince Yadav,Lucknow Super Giants
Prithvi Raj Yarra,Kolkata Knight Riders
Prithvi Shaw,Delhi Capitals
Prithviraj Yarra,Gujarat Titans
Priyam  Garg,Sunrisers Hyderabad
Priyam Garg,Sunrisers Hyderabad
Priyansh Arya,Punjab Kings
Pyla Avinash,Punjab Kings
Quinton De Kock,Mumbai Indians
R Samarth,Sunrisers Hyderabad
R. Ashwin,Rajasthan Royals
R. Sai Kishore,Gujarat Titans
R. Sanjay Yadav,Kolkata Knight Riders
Rachin Ravindra,Kolkata Knight Riders
Raghav Goyal,Mumbai Indians
Rahmanullah Gurbaz,Kolkata Knight Riders
Rahul Ajay Tripathi,Rising Pune Supergiant
Rahul Buddhi,Mumbai Indians
Rahul Chahar,Chennai Super Kings
Rahul Sharma,Chennai Super Kings
Rahul Shukla,Delhi Daredevils
Rahul Tewatia,Gujarat Titans
Rahul Tripathi,Kolkata Knight Riders
Raj Angad Bawa,Mumbai Indians
Rajagopal Sathish,Kolkata Knight Riders
Rajan Kumar,Royal Challengers Bangalore
Rajat Bhatia,Rising Pune Supergiant
Rajat Patidar,Royal Challengers Bengaluru
Rajvardhan Hangargekar,Lucknow Super Giants
Ramakrishna Ghosh,Chennai Super Kings
Ramandeep  Singh,Kolkata Knight Riders
Ramesh Kumar,Kolkata Knight Riders
Ranganath Vinay Kumar,Kolkata Knight Riders
Rashid Khan Arman,Sunrisers Hyderabad
Rasikh Dar,Royal Challengers Bengaluru
Rassie Van Der Dussen,Rajasthan Royals
Ravi Bishnoi,Rajasthan Royals
Ravi Bopara,Sunrisers Hyderabad
Ravi Rampaul,Royal Challengers Bengaluru
Ravi Singh,Rajasthan Royals
Ravichandaran Ashwin,Chennai Super Kings
Ravichandran Ashwin,Kings XI Punjab
Reece Topley,Mumbai Indians
Ricky Bhui,Delhi Capitals
Ricky Ponting,Mumbai Indians
Rilee Rossouw,Punjab Kings
Riley Meredith,Mumbai Indians
Rinku Singh,Kolkata Knight Riders
Ripal Patel,Delhi Capitals
Rishabh Pant,Lucknow Super Giants
Rishi Dhawan,Punjab Kings
Riyan Parag,Rajasthan Royals
Robin Minz,Mumbai Indians
Robin Uthappa,Chennai Super Kings
Romario Shepherd,Royal Challengers Bengaluru
Ronit More,Chennai Super Kings
Ross Taylor,Delhi Daredevils
Rovman Powell,Kolkata Knight Riders
Rudra Pratap Singh,Rising Pune Supergiant
Ruturaj Gaikwad,Chennai Super Kings
Ryan McLaren,Kolkata Knight Riders
Ryan Rickelton,Mumbai Indians
Ryan Ten Doeschate,Kolkata Knight Riders
Sachin Baby,Sunrisers Hyderabad
Sachin Rana,Royal Challengers Bengaluru
Sachithra Senanayaka,Kolkata Knight Riders
Sagar Trivedi,Rajasthan Royals
Sahil Parakh,Delhi Capitals
Sakib Hussain,Sunrisers Hyderabad
Salil Arora,Sunrisers Hyderabad
Sam Billings,Kolkata Knight Riders
Sam Curran,Chennai Super Kings
Samarth Vyas,Sunrisers Hyderabad
Sameer Rizvi,Delhi Capitals
Samuel Badree,Royal Challengers Bengaluru
Sandeep Bavanaka,Sunrisers Hyderabad
Sandeep Lamichhane,Delhi Daredevils
Sandeep Sharma,Punjab Kings
Sandeep Warrier,Royal Challengers Bengaluru
Sanjay Yadav,Mumbai Indians
Sanju Samson,Rajasthan Royals
Sanvir Singh,Sunrisers Hyderabad
Sarabjit Ladda,Gujarat Lions
Sarfaraz Khan,Chennai Super Kings
Sarfaraz Naushad Khan,Kings XI Punjab
Sarthak Ranjan,Kolkata Knight Riders
Satvik Deswal,Royal Challengers Bengaluru
Saurabh Dubey,Sunrisers Hyderabad
Saurabh Kumar,Punjab Kings
Saurabh Tiwary,Mumbai Indians
Saurav Chuahan,Royal Challengers Bengaluru
Sayan Ghosh,Delhi Daredevils
Sayan Sekhar Mandal,Kolkata Knight Riders
Scott Boland,Rising Pune Supergiant
Sean Abbott,Sunrisers Hyderabad
Shadab Jakati,Gujarat Lions
Shahbaz Ahamad,Lucknow Super Giants
Shahbaz Nadeem,Lucknow Super Giants
Shahrukh Khan,Gujarat Titans
Shai Hope,Delhi Capitals
Shaik Rasheed,Chennai Super Kings
Shakib Al Hasan,Kolkata Knight Riders
Shamar Joseph,Lucknow Super Giants
Shams Mulani,Mumbai Indians
Shane Watson,Chennai Super Kings
Sharad Lumba,Mumbai Indians
Shardul Narendra Thakur,Chennai Super Kings
Shardul Thakur,Chennai Super Kings
Shashank  Singh,Punjab Kings
Shashank Singh,Sunrisers Hyderabad
Shaun Marsh,Kings XI Punjab
Sheldon Cottrell,Kings XI Punjab
Sheldon Jackson,Kolkata Knight Riders
Shelley Shaurya,Gujarat Lions
Sherfane Rutherford,Gujarat Titans
Shikhar Dhawan,Punjab Kings
Shimron Hetmyer,Rajasthan Royals
Shishir Bhavane,Royal Challengers Bengaluru
Shivalik Sharma,Mumbai Indians
Shivam  Mavi,Lucknow Super Giants
Shivam Dube,Chennai Super Kings
Shivam Mavi,Sunrisers Hyderabad
Shivam Sharma,Kings XI Punjab
Shivam Singh,Punjab Kings
Shivang Kumar,Sunrisers Hyderabad
Shivil Kaushik,Gujarat Lions
Shreevats Goswami,Sunrisers Hyderabad
Shreyas Gopal,Chennai Super Kings
Shreyas Iyer,Punjab Kings
Shrijith Krishnan,Mumbai Indians
Shrikant Mundhe,Kolkata Knight Riders
Shubam Agrawal,Gujarat Lions
Shubham Dubey,Rajasthan Royals
Shubham Garhwal,Rajasthan Royals
Shubham Ranjane,Rajasthan Royals
Shubman Gill,Kolkata Knight Riders
Siddarth Kaul,Sunrisers Hyderabad
Siddharth  Kaul,Royal Challengers Bangalore
Siddhesh Dinesh Lad,Mumbai Indians
Sikandar Raza,Punjab Kings
Simarjeet Singh,Sunrisers Hyderabad
Sonu Yadav,Royal Challengers Bangalore
Spencer Johnson,Kolkata Knight Riders
Srikkanth Anirudha,Sunrisers Hyderabad
Steven Smith,Delhi Capitals
Stuart Binny,Rajasthan Royals
Subhranshu Senapati,Chennai Super Kings
Subramaniam Badrinath,Royal Challengers Bengaluru
Sudeep Tyagi,Sunrisers Hyderabad
Sumit Kumar,Delhi Capitals
Sumit Narwal,Kolkata Knight Riders
Suryakumar Yadav,Mumbai Indians
Suryansh  Shedge,Punjab Kings
Sushant Marathe,Mumbai Indians
Sushant Mishra,Rajasthan Royals
Suyash Prabhudesai,Royal Challengers Bengaluru
Suyash Prabhudessai,Royal Challengers Bangalore
Suyash Sharma,Royal Challengers Bengaluru
Swapnil Singh,Royal Challengers Bengaluru
Swastik Chhikara,Royal Challengers Bengaluru
Syed Khaleel Ahmed,Chennai Super Kings
Syed Mehdi Hasan,Sunrisers Hyderabad
T Natarajan,Sunrisers Hyderabad
T. Natarajan,Delhi Capitals
Tajinder Dhillon,Kings XI Punjab
Tanay Thyagarajann,Punjab Kings
Tanmay Agarwal,Sunrisers Hyderabad
Tanmay Mishra,Royal Challengers Bengaluru
Tejas Baroka,Rajasthan Royals
Tejas Singh Baroka,Gujarat Lions
Tejasvi Singh,Kolkata Knight Riders
Thisara Perera,Rising Pune Supergiant
Tim David,Royal Challengers Bengaluru
Tim Seifert,Kolkata Knight Riders
Tim Southee,Kolkata Knight Riders
Tirumalasetti Suman,Sunrisers Hyderabad
Tom Banton,Gujarat Titans
Tom Curran,Royal Challengers Bengaluru
Tom Kohler-Cadmore,Rajasthan Royals
Travis Head,Sunrisers Hyderabad
Trent Boult,Mumbai Indians
Tripurana Vijay,Delhi Capitals
Tristan Stubbs,Delhi Capitals
Tushar Deshpande,Rajasthan Royals
Tymal Mills,Mumbai Indians
Umang Sharma,Gujarat Lions
Umesh Yadav,Gujarat Titans
Umran  Malik,Kolkata Knight Riders
Unmukt Chand,Rajasthan Royals
Upendra Singh Yadav,Sunrisers Hyderabad
Urvil Patel,Gujarat Titans
Utkarsh Singh,Punjab Kings
Vaibhav Arora,Kolkata Knight Riders
Vaibhav Rawal,Kolkata Knight Riders
Vaibhav Suryavanshi,Rajasthan Royals
Vansh Bedi,Chennai Super Kings
Varun Aaron,Gujarat Titans
Varun Chakaravarthy,Kolkata Knight Riders
